date, name, subject, venue, type, link
"2010, 07 25",Interdependence,Interdependence,gay buddhist sangha,video,https://www.youtube.com/watch?time_continue=2&v=6FULZyWdDsQ
"2010, 07 25",Interdependence,Interdependence,gay buddhist sangha,video,http://www.youtube.com/watch?v=U3-6er-ppyw
"2010, 07 25",Interdependence,Interdependence,gay buddhist sangha,video,http://www.youtube.com/watch?v=1ovyr8bsDMY
"2010, 07 25",Interdependence,Interdependence,gay buddhist sangha,video,http://www.youtube.com/watch?v=kealowwahac
"2010, 07 25",Interdependence,Interdependence,gay buddhist sangha,video,http://www.youtube.com/watch?v=qhT2DwSv8d4
"2010, 06 02",Harvey Milk,,gay buddhist sangha,audio,
"2008, 12 03",Joy,Joy,gay buddhist sangha,audio,
"2010, 12 10",,"The Fourth Noble Truth: Right Speech, Right Action, and Right Livelihood",gay buddhist fellowship,video,https://www.youtube.com/watch?v=8nLcsCC3DBs
"2009, 07 29",,,gay buddhist fellowship,audio,
"2009, 08 30",,,gay buddhist fellowship,audio,
"2010, 08 29",,,gay buddhist fellowship,audio,
"2010, 09 05",,,gay buddhist fellowship,audio,
"2012, 04 15",,,gay buddhist fellowship,audio,
"2013, 02 03",,,gay buddhist fellowship,audio,
"2013, 09 15",,,gay buddhist fellowship,audio,
"2014, 04 30",,,gay buddhist fellowship,audio,
"2015, 05 17",,,gay buddhist fellowship,audio,
"2016, 04 17",,,gay buddhist fellowship,audio,
"2009, 01 31",,,"faithful fools",video,https://www.youtube.com/watch?v=v6b44Q2Uexg
"2009, 01 31",,,"faithful fools",video,https://www.youtube.com/watch?v=tGr-NYLjLOY
"2009, 01 31",,,"faithful fools",video,https://www.youtube.com/watch?v=wSmQdwMI5lk
"2007, 10 06",,,"Hartford Street","audio",
"2008, 09 05",,Pride,Misc,"audio",
"2008, 10 31",,"Sewing",SFZC,"video","https://www.youtube.com/watch?v=PpmNNfUhZXo"
"2008, 10 31",,"Sewing",SFZC,"video","Missing"
"2008, 10 31",,"Sewing",SFZC,"video","https://www.youtube.com/watch?v=CdrKiv_ZFoA"
"2012, 01 07",,"",SFZC,"audio",
"2013, 07 09",,"Memorial Services","Walking through Peace","video",http://walkingthroughpeace.com/?tag=non-religious
"2013, 07 22",,"Detachment","Walking through Peace","video",https://www.youtube.com/watch?time_continue=15&v=LbBWORI13R8
"2014, 07 11",,"Street Zen",Jikoji,video,https://www.jikoji.org/shika-blog/post_id-1
